기업명,종목코드,사업연도,보고서구분,매출액,영업이익,당기순이익,자산총계,부채총계,자본총계,부채비율,영업이익률,순이익률,매출성장률,영업이익성장률
LG생활건강,51900,2022,사업보고서,7185759184335,711122934369,258340046881,7302929652203,1834093663954,5468835988249,0.3353718538816952,0.09896281187925869,0.035951670554752645,0.0,0.0
LG생활건강,51900,2023,사업보고서,6804839370129,486981224742,163524219980,7220285811725,1671359345925,5548926465800,0.30120408987687614,0.07156395592226422,0.02403057751779085,-0.053010378504808164,-0.3151940386030264
LG생활건강,51900,2024,사업보고서,6811918756741,459045912180,203887730139,7405784092201,1719864001122,5685920091079,0.3024776946514608,0.06738863579747384,0.029931027867476392,0.0010403458813554867,-0.0573642496726644
LG엔솔,373220,2022,사업보고서,25598609000000,1213719000000,779826000000,38299445000000,17705683000000,20593762000000,0.8597595232964235,0.04741347469309758,0.030463608393721704,0.0,0.0
LG엔솔,373220,2023,사업보고서,33745470000000,2163234000000,1637985000000,45437144000000,21063635000000,24373509000000,0.8642019907761332,0.06410442646079607,0.048539403955553145,0.318254050444694,0.7823186421239183
LG엔솔,373220,2024,사업보고서,25619585000000,575387000000,338602000000,60306791000000,29340248000000,30966543000000,0.9474821906985226,0.0224588727725293,0.013216529463689595,-0.24079928357791436,-0.7340153677318311
LG이노텍,11070,2022,사업보고서,19589409483381,1271751532028,979848640817,9793617826430,5527824867091,4265792959339,1.295849310967862,0.06492036082593053,0.0500193046476603,0.0,0.0
LG이노텍,11070,2023,사업보고서,20605290000000,830824000000,565201000000,11204306000000,6489731000000,4714575000000,1.3765251374726248,0.040320907883363934,0.027429897856327184,0.051858659521147876,-0.3467088664126666
LG이노텍,11070,2024,사업보고서,21200755000000,706043000000,449274000000,11378212000000,6024347000000,5353865000000,1.1252332660610607,0.033302729077337105,0.021191415117055974,0.02889864690086874,-0.15018945047326504
LG전자,66570,2022,사업보고서,83467318000000,3550972000000,1863123000000,55156141000000,32664144000000,22491997000000,1.4522562847576408,0.04254326226224257,0.022321586995283593,0.0,0.0
LG전자,66570,2023,사업보고서,84227765000000,3549074000000,1150611000000,60240793000000,36742257000000,23498536000000,1.5635977066826632,0.04213662798722013,0.013660709149767894,0.00911071564561361,-0.0005345015392967944
LG전자,66570,2024,사업보고서,87728182000000,3419675000000,591365000000,65629589000000,40417925000000,25211664000000,1.6031438860997036,0.038980347273125986,0.00674087831889643,0.041558944369472384,-0.03645993292898375
LG화학,51910,2022,사업보고서,51864888000000,2995698000000,2195518000000,67973823000000,30492696000000,37481127000000,0.8135480024386673,0.05775965427709012,0.04233149023670889,0.0,0.0
LG화학,51910,2023,사업보고서,55249785000000,2529196000000,2053425000000,77466694000000,36528509000000,40938185000000,0.8922845260482359,0.04577748130603585,0.037166207977098915,0.06526374837635829,-0.15572397484659672
LG화학,51910,2024,사업보고서,48916104000000,916798000000,515011000000,93857762000000,45862299000000,47995463000000,0.9555548823437748,0.01874225306250882,0.010528455005329125,-0.1146372062805312,-0.6375140558501595
LS,10120,2022,사업보고서,3377070215838,187524016869,91209999630,3322804977898,1773513972232,1549291005666,1.1447261784558107,0.05552861056590943,0.02700861806255538,0.0,0.0
LS,10120,2023,사업보고서,4230482628448,324877723039,207672688149,3732891934230,2008849631067,1724042303163,1.1651974127209528,0.07679448223102267,0.04908959718980977,0.25270792671340137,0.7324592788877393
LS,10120,2024,사업보고서,4551837252467,389717122317,242237998768,4485197464384,2595105380936,1890092083448,1.373004735410499,0.08561754313728627,0.053217631767636706,0.07596169332029445,0.19958093362472984
LX인터내셔널,1120,2022,사업보고서,18759549404034,965543470335,779310807894,7719007333629,4682532060717,3036475272912,1.5420945800182395,0.05146943828658125,0.041542085639136896,0.0,0.0
LX인터내셔널,1120,2023,사업보고서,14514349869122,433109594096,193358801940,7995340730864,4920385836841,3074954894023,1.6001489473569483,0.02984009604297899,0.013321905816212534,-0.2262953892698043,-0.5514343917154445
LX인터내셔널,1120,2024,사업보고서,16637572685167,489185373375,269491720840,8930865616216,5611254021107,3319611595109,1.6903345046072336,0.029402448459992396,0.016197778722869934,0.14628438994446236,0.12947249389855497
NAVER,35420,2022,사업보고서,8220078708810,1304664410543,673180300087,33899042889136,10448720408685,23450322480451,0.44556830369370887,0.15871677836183068,0.0818946294717967,0.0,0.0
NAVER,35420,2023,사업보고서,9670643576585,1488820269608,985017762493,35737826964395,11499828148842,24237998815553,0.4744545222711542,0.15395255319023432,0.10185648500974326,0.1764660557593365,0.14115189896868152
NAVER,35420,2024,사업보고서,10737719264647,1979263438827,1931976372953,38167876036020,11166964187683,27000911848337,0.4135772988115132,0.18432810451131382,0.1799242767795078,0.11034174505672523,0.3294173106255005
NH투자증권,5940,2023,사업보고서,0,725757000000,553048000000,56697893000000,49084465000000,7613428000000,6.447091244574717,0.0,0.0,0.0,0.0
NH투자증권,5940,2024,사업보고서,0,901069000000,686638000000,62427065000000,54307696000000,8119369000000,6.688659672937638,0.0,0.0,0.0,0.2415574358910766
POSCO홀딩스,5490,2022,사업보고서,0,4850053015766,3560483538695,98406780635254,40149380046004,58257400589250,0.6891721848195987,0.0,0.0,0.0,0.0
POSCO홀딩스,5490,2023,사업보고서,77127197108585,3531422506439,1845849532200,100945394185079,41281496791611,59663897393468,0.691900774087388,0.045786993937653654,0.023932537436843263,0.0,-0.271879607303373
POSCO홀딩스,5490,2024,사업보고서,72688143160111,2173573272904,947580322052,103404198997805,41953831078121,61450367919684,0.6827270933992602,0.029902721109772268,0.013036243338404642,-0.05755497561028167,-0.3845048931582593
S-Oil,10950,2022,사업보고서,42446028000000,3405166000000,2104387000000,19613135000000,11129666000000,8483469000000,1.3119239311182724,0.08022343103576146,0.049577948730562024,0.0,0.0
S-Oil,10950,2023,사업보고서,35726694000000,1354582000000,948848000000,21576123000000,12538558000000,9037565000000,1.387382331413384,0.037915123072960515,0.026558516721418443,-0.1583030101191094,-0.6021979545196916
S-Oil,10950,2024,사업보고서,36637031000000,422177000000,-193042000000,24451433000000,15755786000000,8695647000000,1.8119164680902986,0.011523231781527275,-0.005269040496212698,0.025480583230007126,-0.6883341134017726
SK네트웍스,1740,2022,사업보고서,9666446000000,154211000000,90765000000,9499259000000,7048547000000,2450712000000,2.8761221228769434,0.015953226242612847,0.00938969710274076,0.0,0.0
SK네트웍스,1740,2023,사업보고서,9133867000000,237283000000,5459000000,9110359000000,6954518000000,2155841000000,3.2258956017628386,0.025978372577573114,0.0005976658079212232,-0.055095637010748266,0.5386904954899456
SK네트웍스,1740,2024,사업보고서,7657281000000,113915000000,46292000000,5157129000000,3103820000000,2053309000000,1.5116185630121914,0.014876690564183292,0.006045487948006609,-0.16166055406762547,-0.5199192525381084
SK바이오사이언스,302440,2022,사업보고서,456725871196,115013617843,122451949931,2141931383550,400229387487,1741701996063,0.2297921162125849,0.25182199016189055,0.2681081971781949,0.0,0.0
SK바이오사이언스,302440,2023,사업보고서,369505555858,-11987764772,22317719237,1852439180084,148583863708,1703855316376,0.08720450749540702,-0.03244271860585194,0.06039887325963954,-0.19096863313129497,-1.1042290904053116
SK바이오사이언스,302440,2024,사업보고서,267545049154,-138431298006,-50117070464,2843596036892,821143859318,2022452177574,0.4060139806633104,-0.5174130429388675,-0.18732198791371546,-0.2759376823637887,10.547715578248251
SK이노베이션,96770,2022,사업보고서,78056939448000,3917340789000,1895179127000,67218924277000,43976612895000,23242311382000,1.892092923643458,0.050185682614543904,0.024279444472230828,0.0,0.0
SK이노베이션,96770,2023,사업보고서,77288485864000,1903886320000,554894277000,80835513251000,50815545738000,30019967513000,1.692724874402165,0.024633505220300948,0.007179520607719173,-0.00984478240415676,-0.513985016226782
SK이노베이션,96770,2024,사업보고서,74716970174000,315488338000,-2372482956000,110530097549000,70881188555000,39648908994000,1.7877210332755014,0.004222445547046334,-0.031752933108435605,-0.03327165309623148,-0.834292449771896
SK텔레콤,17670,2022,사업보고서,17304973000000,1612070000000,947831000000,31308262000000,19153066000000,12155196000000,1.575710173657422,0.09315645855096104,0.05477217444950651,0.0,0.0
SK텔레콤,17670,2023,사업보고서,17608511000000,1753204000000,1145937000000,30119227000000,17890828000000,12228399000000,1.4630556297680506,0.09956571569282605,0.06507858614507496,0.01754050699761267,0.08754830745563158
SK텔레콤,17670,2024,사업보고서,17940609000000,1823409000000,1387095000000,30515255000000,18687621000000,11827634000000,1.5799965572150778,0.10163584747875616,0.07731593726835026,0.018860084194512572,0.040043828328021114
SK하이닉스,660,2022,사업보고서,44621568000000,6809417000000,2241669000000,103871512000000,40580970000000,63290542000000,0.6411853764816866,0.1526037139707865,0.05023734262319065,0.0,0.0
SK하이닉스,660,2023,사업보고서,32765719000000,-7730313000000,-9137547000000,100330165000000,46826413000000,53503752000000,0.875198677655354,-0.23592685391704665,-0.27887521711334945,-0.2656977226797588,-2.135238596784424
SK하이닉스,660,2024,사업보고서,66192960000000,23467319000000,19796902000000,119855209000000,45939505000000,73915704000000,0.6215121079006432,0.35452892573470046,0.2990786633503019,1.020189454716376,-4.035752756712439
강원랜드,35250,2022,사업보고서,1270685819109,217565214200,115612767888,4167752670696,752374769957,3415377900739,0.22029034321332508,0.17121873159216958,0.0909845424804278,0.0,0.0
강원랜드,35250,2023,사업보고서,1388572378274,282263014860,340880761170,4448655838228,770755021966,3677900816262,0.20956384102531336,0.20327569471809157,0.24549009220082277,0.092773962998707,0.29737198980957325
강원랜드,35250,2024,사업보고서,1426862781802,285790454716,456893167585,4700641154570,816978340813,3883662813757,0.21036284043996775,0.20029287914782684,0.32020820320786897,0.02757537462728088,0.012496996312993947
고려아연,10130,2022,사업보고서,11219358600107,919171130822,798264387415,12097918358974,2866186242426,9231732116548,0.31047112353794626,0.08192724411297753,0.07115062597316275,0.0,0.0
고려아연,10130,2023,사업보고서,9704521343024,659935424598,533378688122,12046071311650,2404068442780,9642002868870,0.24933289021741872,0.068002882498928,0.05496187491054508,-0.13501995177055426,-0.2820320368331952
고려아연,10130,2024,사업보고서,12052918410249,723472208523,194781564506,14792322181548,7196894404555,7595427776993,0.9475298318752788,0.0600246499559648,0.01616053124033186,0.2419899945825894,0.09627727434650657
금양,1570,2022,사업보고서,202836313078,7924631740,-33310343621,278599452437,160842410708,117757041729,1.3658835883305769,0.03906909773573241,-0.16422278198376947,0.0,0.0
금양,1570,2023,사업보고서,152030952048,-14608343494,-60356260825,703467371639,456932096288,246535275351,1.853414671135607,-0.0960879564142161,-0.3969998214965069,-0.25047468206771717,-2.8434097600098704
금양,1570,2024,사업보고서,153730068660,-56002221720,-186089905780,1256933888453,762397544483,494536343970,1.5416410821552262,-0.3642893170356826,-1.2104977731556814,0.011176122948066247,2.833577827835269
금호석유,11780,2022,사업보고서,7975625981021,1147745512728,1025704605758,7719272223622,2065857046026,5653415177596,0.36541753632615104,0.1439066369786151,0.12860490301310423,0.0,0.0
금호석유,11780,2023,사업보고서,6322528187782,358961881960,447043536116,7979694633685,2145675091381,0,0.0,0.056775054424221885,0.0707064520455427,-0.20726872062114665,-0.6872461029215375
금호석유,11780,2024,사업보고서,7155003786012,272804307588,348602013402,8340238952259,2298015880753,6042223071506,0.3803262232389293,0.038127765651407644,0.04872142962153498,0.131668151332045,-0.24001872817682834
기아,270,2022,사업보고서,86559029000000,7233120000000,5408976000000,73710965000000,34367884000000,39343081000000,0.8735432794396555,0.08356285974511105,0.06248887103389295,0.0,0.0
기아,270,2023,사업보고서,99808420000000,11607873000000,8777817000000,80627826000000,34069591000000,46558235000000,0.7317629416149474,0.11630154049127318,0.08794665820779449,0.1530676944169509,0.6048224002919902
기아,270,2024,사업보고서,107448752000000,12667139000000,9775005000000,92755874000000,36915565000000,55840309000000,0.6610917034860964,0.11789005236654587,0.09097364853525707,0.07654997444103406,0.09125409969595633
두산에너빌리티,34020,2022,사업보고서,15421058082388,1106120868237,-453149865549,23049781799921,12969491516052,10080290283869,1.2866188523168276,0.07172794903744463,-0.029385134478322923,0.0,0.0
두산에너빌리티,34020,2023,사업보고서,17589887709510,1467318338124,517521903042,24640833945624,13799325009099,10841508936525,1.27282328409186,0.08341828909633642,0.029421558090004234,0.14064077935086483,0.3265443047491705
두산에너빌리티,34020,2024,사업보고서,16233055000000,1017600000000,394689000000,26314835000000,14653743000000,11661092000000,1.2566355706652517,0.06268690643874489,0.024313907640921565,-0.07713708762202198,-0.30648995956731184
롯데쇼핑,23530,2022,사업보고서,15476035656554,386225594610,-318692441033,31703575873070,20668459087068,11035116786002,1.8729714861999336,0.024956365000776925,-0.020592640654587522,0.0,0.0
롯데쇼핑,23530,2023,사업보고서,14555863880290,508404731640,169180436381,30644698696537,19808248977726,10836449718811,1.827927918434471,0.03492782948653618,0.011622837213398659,-0.05945784803579934,0.31634137854942823
롯데쇼핑,23530,2024,사업보고서,13986578270060,473113964780,-994075271502,39003044584713,21969427278570,17033617306143,1.2897687486877465,0.03382628371606506,-0.07107351435840037,-0.03911039666981675,-0.06941470970610342
롯데케미칼,11170,2022,사업보고서,22276082763692,-762606983916,27820456953,26784587810580,9520345523797,17264242286783,0.5514487902597092,-0.03423433967299585,0.0012488935890624733,0.0,0.0
롯데케미칼,11170,2023,사업보고서,19946396629902,-347702499473,-39243085252,33476310224541,13243769644688,20232540579853,0.6545776884725875,-0.017431845256288193,-0.001967427299283219,-0.10458239711638972,-0.5440606933763684
롯데케미칼,11170,2024,사업보고서,20430375565357,-894081004428,-1825555752135,34552330375053,14564385612175,19987944762878,0.7286584881515312,-0.043762338169840535,-0.0893549776554536,0.024263978323255664,1.571396540959947
메리츠금융,138040,2023,사업보고서,58558358469900,2933502360678,2125376583433,102235842680189,92138657614258,10097185065931,9.125182614028127,0.050095365330055666,0.036295016441170905,0.0,0.0
메리츠금융,138040,2024,사업보고서,46574506350960,3188889251285,2333433638351,115578247112858,104648211084850,10930036028008,9.57437018658411,0.06846855718137462,0.05010109223203614,-0.20464802006189953,0.08705869612730566
